,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
31,0.41616067886352537,0.4451949338641484,0.003264617919921875,0.00014898413595564603,0.01,1,6,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 200}",0.8276737813782971,0.855059648961222,0.8349923190817863,0.8730035340647802,0.8414606247221685,0.8464379816416507,0.016049512190573538,35,-6.749383044255406,-6.194746917201761,-6.9531521410252575,-5.799217440623266,-6.935247437483858,-6.52634939611791,0.45558386367817616,35
30,0.107749605178833,0.014751007859023967,0.003244781494140625,0.00033852071997694154,0.01,1,6,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 100}",0.8276737989215813,0.855059648850685,0.8349922986615588,0.8730035241514305,0.8414606177690059,0.8464379776708523,0.01604950813860536,36,-6.749382700702495,-6.194746919563937,-6.953152571262636,-5.799217666966846,-6.935247589565646,-6.526349489612312,0.4555838653568105,36
71,0.8116912364959716,0.01463557241964181,0.0033669471740722656,6.104688978659934e-05,0.1,1,9,500,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 500}",0.7824777494229704,0.8304827000459042,0.8402615556927507,0.8582680098829572,0.845170546721102,0.8313321123531369,0.02601634132013543,37,-7.5829857693003735,-6.699400279009645,-6.841232924953762,-6.1264305930329295,-6.8536224961383825,-6.820734412487019,0.4646092361713551,37
70,0.3367575168609619,0.008617024834587535,0.003492307662963867,0.000645616212659737,0.1,1,9,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 200}",0.7824777494229704,0.8304827025175099,0.8402615165585972,0.8582680367257749,0.845170546721102,0.8313321103891909,0.026016344175962568,38,-7.5829857693003735,-6.699400230170159,-6.841233762966943,-6.1264300128863205,-6.8536224961383825,-6.820734454292436,0.4646094195092339,38
69,0.575394582748413,0.7134932340881194,0.004572105407714844,0.0018683686115235428,0.1,1,9,100,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 100}",0.7824777494229704,0.8304827036426197,0.8402614905558078,0.8582680522033467,0.845170546721102,0.8313321085091694,0.026016345588597885,39,-7.5829857693003735,-6.699400207937737,-6.841234319786907,-6.126429678373692,-6.8536224961383825,-6.820734494307419,0.46460952556208185,39
33,0.17092471122741698,0.016318233561067135,0.003120565414428711,0.00010835274315736794,0.01,1,9,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 100}",0.7840243786443376,0.8278921138245672,0.8387774769692675,0.8570467677497589,0.8395260618389683,0.8294533598053798,0.024560229915337576,40,-7.555979361794636,-6.750396752921336,-6.872939303725428,-6.152768356519488,-6.977432513398051,-6.861903257671787,0.44955899505837,40
34,0.7461596965789795,0.7680773910304611,0.0031461238861083983,0.00023277856795634558,0.01,1,9,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 200}",0.7840243786443376,0.8278921161223851,0.83877745769496,0.857046771160082,0.8395260618389683,0.8294533570921466,0.024560229188953918,41,-7.555979361794636,-6.750396707858957,-6.8729397145586635,-6.152768283128604,-6.977432513398051,-6.861903316147783,0.44955902246426704,41
35,0.9165863037109375,0.15674205375847472,0.0033624649047851564,0.0002703001556123509,0.01,1,9,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 500}",0.7840243786443376,0.8278921208404771,0.8387774171020479,0.8570467813910414,0.8395260618389683,0.8294533519633743,0.024560228345716216,42,-7.555979361794636,-6.750396615332709,-6.872940579799392,-6.1527680629561585,-6.977432513398051,-6.861903426656189,0.44955910076267597,42
52,0.3404556751251221,0.014276552315385417,0.004221487045288086,0.0002170587884794231,0.1,0.01,9,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200}",0.7853350453827269,0.71797402228191,0.7741782902579224,0.751892743992028,0.7438241038075677,0.754640841144431,0.023634109002689963,43,-7.533017414996404,-8.641188332199748,-8.134156006053598,-8.105751920515972,-8.815816085136454,-8.245985951780437,0.4519705647715438,43
16,0.7261627197265625,0.8214368926803439,0.004643487930297852,0.0006012819268197983,0.01,0.01,9,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200}",0.7842170787369067,0.7183696754001159,0.7744472529180834,0.7523028683153352,0.743638685438496,0.7545951121617873,0.023277234944699028,44,-7.552607770967041,-8.635124860541854,-8.129310510766969,-8.099049696212168,-8.819005921868095,-8.247019752071227,0.44626278269205605,44
